budget,revenue,runtime,rating,votes,year,roi,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,label
2.219331818780403,3.2659807699456693,-1.0855013281384167,1.5796978903982062,1.6663720420338377,-0.32840188078827115,0.4614052184466926,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.295813427247511,1.6558378409543877,-0.13068909946612575,0.31163362313495974,1.2490400212497421,0.48433326426713225,-0.18506292625650433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.219331818780403,2.27282658795365,2.4322279353910767,1.1185836113933898,2.1877311061218867,0.7281538077837533,0.07620430312169973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2.6017398611159415,0.35368893968705084,0.7738698540128869,-1.0717092138794917,-0.03110453517302598,1.1345213803114549,-0.7186764420504219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.3665559457870184,1.6278737706170179,-0.7337284017854675,0.5421907626373684,0.7068755485009025,-0.08458133727165011,-0.42382339563852006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6457197552770957,1.8248661776900021,0.5728567532397729,0.5421907626373684,0.6444593225185304,0.48433326426713225,0.11764411119127413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2.219331818780403,1.8431537337243016,0.17083055169354514,-0.841152074377083,0.4914783764833048,0.48433326426713225,-0.09044693768310118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.1428502103132954,2.4254596614611086,-0.2311956498526827,-0.7258735046258791,2.2844150640161494,1.0532478658059146,0.16515087738336975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.6017398611159415,2.318661161401159,1.8291886330717348,0.6574693323885723,1.6247612247122565,-0.08458133727165011,-0.0327626122492328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2.219331818780403,1.5757461857313027,-0.5327153010123535,-1.1869877836306955,-0.22080090825670576,0.07796569173943056,-0.1941625884042326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
